Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700002-.bmp,0.009917149,11.46122848,0.988903997,516.4575138,0.361067512,27.79263172,4.070953971,2617.086822,5.72804275,1.992010191,1.00E-04,2.398441575,365950.4016,1.01E+08,0,0.040222353,13.89631586,0,0,0,0.034178451,501.2797698,0.631108221,679.4401481,0.203799743,39.95005543,3.501811228,3544.955328,4.843309389,2.776242293,7.14E-05,16.27955464,294846.6303,6.78E+07,0,0.15744001,19.97502771,0,0,0
2015040117594700003-.bmp,0.009961245,6.525026082,0.990930646,359.7293617,0.447319837,25.8800013,4.093582191,1907.040479,5.494693704,1.709832139,1.17E-04,1.740610329,238674.3036,6.16E+07,0,0.029698096,12.94000065,0,0,0,0.020935852,415.0365676,0.618467096,543.9066501,0.171309019,40.1550013,3.667819799,3091.904447,5.225760457,2.827671594,6.65E-05,15.17360459,183161.5595,3.73E+07,0,0.116216745,20.07750065,0,0,0
2015040117594700008-.bmp,0.005230589,12.80733894,0.983863275,396.8382308,0.345421068,31.18285407,4.331656383,2295.532402,6.083719009,2.02649754,9.91E-05,2.520504043,223330.5405,5.34E+07,0,0.017719744,15.59142703,0,0,0,0.017970259,318.8145833,0.821913629,895.1122472,0.167541637,45.8013465,4.031881618,5006.322602,5.593920791,2.973730679,6.35E-05,13.18910081,485841.243,1.18E+08,0,0.107508477,22.90067325,0,0,0
2015040117594700014-.bmp,0.012609813,6.731602113,0.987608097,271.6129385,0.440081512,21.16436163,3.852829867,1379.409284,5.26499723,1.725690345,1.15E-04,1.775505347,180904.2665,4.78E+07,0,0.032589984,10.58218082,0,0,0,0.023161276,398.3964789,0.624023074,529.8150647,0.177080198,38.26244131,3.608288463,2921.77409,5.122640808,2.802331937,6.76E-05,14.81483438,197558.1902,4.35E+07,0,0.122815597,19.13122066,0,0,0
2015040117594700016-.bmp,0.009925748,9.95721831,0.984669473,324.7513393,0.378404917,23.51385629,3.993079843,1670.108852,5.593427575,1.921617809,1.03E-04,2.222424361,225977.3363,6.23E+07,0,0.048043818,11.75692814,0,0,0,0.024033425,473.4506684,0.677437631,733.8901151,0.178700236,44.55382433,3.727157771,4128.926495,5.202157157,2.860134248,6.70E-05,16.08932251,301454.3791,6.74E+07,0,0.128009259,22.27691217,0,0,0
2015040117594700017-.bmp,0.005469155,14.46638954,0.985888349,512.5689942,0.321787665,32.01639606,4.314494817,2803.20492,6.131214126,2.107501449,9.42E-05,2.752611502,311981.0057,7.56E+07,0,0.02478808,16.00819803,0,0,0,0.025653766,311.2124641,0.699868173,518.4596166,0.188958465,35.58454943,3.672253558,2781.02063,5.136052556,2.852132074,6.84E-05,12.95941901,229775.4691,5.28E+07,0,0.132730177,17.79227471,0,0,0
2015040117594700025-.bmp,0.004636634,16.26260433,0.982593404,467.1391334,0.309764378,32.0418036,4.351209234,2619.062946,6.222512983,2.156047486,9.23E-05,2.906318466,307130.6665,7.97E+07,0,0.019232525,16.0209018,0,0,0,0.033202213,661.254196,0.312888383,481.1839735,0.196594478,39.1407766,3.310097485,2547.319264,4.642823874,2.738947988,7.17E-05,18.96101004,81792.74172,1.42E+07,0,0.151988785,19.5703883,0,0,0
2015040117594700035-.bmp,0.007814584,11.48215962,0.990334087,593.9510857,0.358946015,28.76823161,4.121376772,2971.789637,5.80340003,1.97645439,1.01E-04,2.383581116,494472.1108,1.43E+08,0,0.028426578,14.38411581,0,0,0,0.021654524,196.8300926,0.721844132,353.8125839,0.189224237,29.95632499,3.768739405,1904.209882,5.261131045,2.883763772,6.62E-05,10.40836594,150220.4306,3.36E+07,0,0.119418362,14.97816249,0,0,0
2015040117594700036-.bmp,0.007661523,10.50349178,0.990556493,556.1224245,0.369327078,29.86670253,4.211244196,2872.188748,5.847000795,1.941381658,1.03E-04,2.285442749,425742.3097,1.19E+08,0,0.032482394,14.93335126,0,0,0,0.024521897,210.005862,0.736611992,398.6625359,0.192187675,30.8935446,3.686333313,2124.876628,5.184235234,2.825264514,6.81E-05,10.69729395,177387.4041,3.93E+07,0,0.128860198,15.4467723,0,0,0
2015040117594700038-.bmp,0.01623242,3.873304643,0.9910584,216.5890085,0.510658721,19.21181534,3.774394855,1100.796681,4.961512344,1.503249322,1.27E-04,1.356624935,155819.6301,4.72E+07,0,0.049983698,9.605907668,0,0,0,0.020421283,256.1013139,0.734184843,481.7281995,0.177492415,35.26851526,3.825531649,2659.472702,5.329773791,2.90622611,6.53E-05,11.88669471,193973.0923,3.85E+07,0,0.114935446,17.63425763,0,0,0
2015040117594700039-.bmp,0.024553345,2.979685055,0.991228697,169.8541828,0.579007058,16.13782277,3.562570595,834.5740135,4.544924931,1.334643017,1.39E-04,1.093254434,126796.4904,3.85E+07,0,0.07640519,8.068911385,0,0,0,0.01878035,192.521606,0.647335963,272.9532724,0.178967837,28.52107134,3.752386055,1512.779254,5.269361704,2.908977276,6.48E-05,10.39083529,82926.40057,1.49E+07,0,0.107182447,14.26053567,0,0,0
2015040117594700052-.bmp,0.008662012,6.726326943,0.992773862,465.4164759,0.442969861,30.83222157,4.281788883,2559.865053,5.705374088,1.734808975,1.15E-04,1.782912754,284976.4791,7.07E+07,0,0.029222092,15.41611079,0,0,0,0.010941506,61.67703769,0.872144195,241.1976435,0.210970354,23.85896257,4.028791586,1296.349218,5.944486731,2.814803426,6.44E-05,5.911375196,120644.0716,2.93E+07,0,0.078778691,11.92948129,0,0,0
2015040117594700058-.bmp,0.012528444,5.596853808,0.990580274,297.0815724,0.475765145,25.13046101,4.074402494,1626.087036,5.383350184,1.643542142,1.21E-04,1.592902321,169054.1669,4.33E+07,0,0.046328899,12.5652305,0,0,0,0.025793291,542.8222809,0.521816791,567.5881861,0.18102144,41.07614111,3.563652413,3134.717272,4.972748403,2.836706017,6.80E-05,17.26091549,179464.9931,3.89E+07,0,0.131308685,20.53807055,0,0,0
2015040117594700063-.bmp,0.00768147,11.70311685,0.990261736,600.8831173,0.365287455,31.70464267,4.250059294,3145.583501,5.911675314,1.98402113,1.01E-04,2.381201095,412987.8077,1.09E+08,0,0.033698487,15.85232134,0,0,0,0.027086907,470.7883933,0.583671813,565.4053795,0.186116762,40.40428404,3.567717848,3147.765733,5.000424278,2.811989792,6.95E-05,16.03011868,170796.9853,3.16E+07,0,0.135961137,20.20214202,0,0,0
2015040117594700068-.bmp,0.009894706,9.030731612,0.98449453,291.2111608,0.387053553,24.31714919,4.018972432,1567.829891,5.587871576,1.884465794,1.06E-04,2.132387846,160493.1457,4.24E+07,0,0.039263824,12.1585746,0,0,0,0.027575176,238.1407799,0.619685659,313.0841442,0.196497777,28.90869197,3.56590195,1656.452803,4.965124001,2.806988121,6.90E-05,11.38255738,105630.5614,2.19E+07,0,0.13685772,14.45434598,0,0,0
2015040117594700072-.bmp,0.026059108,2.985181925,0.994374858,265.3427959,0.609414379,19.72886346,3.769404633,1313.090328,4.668026086,1.329760278,1.41E-04,1.039713745,211453.031,6.39E+07,0,0.091141758,9.864431729,0,0,0,0.012836934,170.1685316,0.851368679,572.45179,0.166661044,38.27533255,3.888060221,3302.123127,5.907465157,2.673885758,6.98E-05,9.748285081,266642.886,5.69E+07,0,0.088406364,19.13766628,0,0,0
2015040117594700075-.bmp,0.006796124,9.221162624,0.987360553,364.7771365,0.392964049,29.40253326,4.269334942,2081.565041,5.855242688,1.876346733,1.07E-04,2.115600548,214639.11,5.44E+07,0,0.022140715,14.70126663,0,0,0,0.025758906,261.1823063,0.605764543,331.251669,0.190238087,30.19155256,3.585247227,1771.719853,5.006577326,2.839356942,6.79E-05,11.97343179,117445.4998,2.59E+07,0,0.131585811,15.09577628,0,0,0
2015040117594700082-.bmp,0.008306573,7.760116719,0.988105018,326.1928705,0.401788121,26.10235068,4.112350584,1780.571469,5.652542879,1.816762051,1.09E-04,1.988233568,197717.3531,5.17E+07,0,0.022235263,13.05117534,0,0,0,0.021319343,357.5059109,0.66044047,526.4259711,0.174310443,38.12126695,3.727979289,2931.09621,5.210061504,2.889695596,6.58E-05,14.08075443,220543.4094,4.99E+07,0,0.117648018,19.06063348,0,0,0
2015040117594700084-.bmp,0.01692083,5.279965441,0.98841262,227.83258,0.477426648,19.02844614,3.724579536,1140.258688,5.005571927,1.617461298,1.21E-04,1.554945879,136096.5473,3.34E+07,0,0.051137846,9.51422307,0,0,0,0.026739557,363.1950704,0.668128639,547.1925471,0.189359072,36.96011998,3.625910812,2936.744619,5.046280956,2.821590694,6.86E-05,14.05015649,230618.2198,5.03E+07,0,0.135550339,18.48005999,0,0,0
2015040117594700087-.bmp,0.005991663,10.12903625,0.987281935,398.2145034,0.376935206,31.80618153,4.350726469,2336.53099,5.997639935,1.923056602,1.05E-04,2.23620892,203359.6963,4.82E+07,0,0.017797992,15.90309077,0,0,0,0.022376631,534.3955138,0.6536879,771.5518953,0.17206001,46.73470918,3.442358171,4426.039723,5.2175087,2.58626228,7.40E-05,17.15417319,302702.6668,6.55E+07,0,0.12208529,23.36735459,0,0,0
2015040117594700092-.bmp,0.004403558,14.25410472,0.984988794,474.7821456,0.324359916,34.41198161,4.444643641,2782.915823,6.273784513,2.095729193,9.51E-05,2.720895279,282707.1124,7.38E+07,0,0.019966093,17.20599081,0,0,0,0.035715761,1201.455797,0.241656206,792.1577295,0.200498144,50.18869327,3.274728517,4168.09521,4.559128176,2.728233354,7.25E-05,25.44732003,116371.9395,2.07E+07,0,0.159125587,25.09434664,0,0,0
2015040117594700095-.bmp,0.008688419,5.845882238,0.987700882,237.6545247,0.437500574,24.83211724,4.104174212,1374.419839,5.531576004,1.698908766,1.15E-04,1.732391106,120100.4567,3.09E+07,0,0.025143453,12.41605862,0,0,0,0.035145344,545.7854036,0.408006944,460.9728087,0.204055249,36.29918166,3.301278115,2386.96747,4.645648788,2.699222199,7.27E-05,17.0730536,110707.7065,2.14E+07,0,0.158062728,18.14959083,0,0,0
2015040117594700097-.bmp,0.006495038,10.89676578,0.991219238,620.4909108,0.388254418,34.69198618,4.3956169,3388.936869,6.008687512,1.926538393,1.05E-04,2.229290558,423633.2742,1.13E+08,0,0.019633542,17.34599309,0,0,0,0.031911165,405.8936131,0.596948361,503.525571,0.198762585,35.22716158,3.461255491,2617.281461,4.814059338,2.762965723,7.09E-05,14.77551187,216413.4222,5.26E+07,0,0.14935772,17.61358079,0,0,0
2015040117594700100-.bmp,0.0081233,6.689749609,0.992650532,455.1179493,0.467202448,31.67616067,4.348167476,2560.60126,5.712926186,1.698925936,1.19E-04,1.695644236,338395.809,1.01E+08,0,0.029336202,15.83808033,0,0,0,0.010853399,258.5172014,0.818091933,710.5710209,0.150640866,45.83743479,4.234546426,4314.567203,5.964342762,3.045792203,6.02E-05,12.12176578,335001.0719,7.97E+07,0,0.079658972,22.9187174,0,0,0
2015040117594700101-.bmp,0.006510818,8.836821857,0.9891952,408.9303723,0.404649003,30.99462702,4.319760289,2338.433182,5.877095466,1.852459495,1.09E-04,2.051806208,240783.5085,5.96E+07,0,0.018446792,15.49731351,0,0,0,0.029506214,377.383793,0.612972656,487.5415117,0.192528774,34.33170644,3.481100258,2524.542156,4.844156871,2.783613523,7.00E-05,14.3514704,219614.9551,5.19E+07,0,0.14159168,17.16585322,0,0,0
2015040117594700103-.bmp,0.025609902,2.515473396,0.993157419,183.8102723,0.610882777,16.63267475,3.62434724,901.9422006,4.511120863,1.271843812,1.43E-04,0.986221961,154282.4167,5.01E+07,0,0.073770866,8.316337376,0,0,0,0.026407588,264.26875,0.728815044,487.2481751,0.19351665,34.08385824,3.714745937,2607.006933,5.139379619,2.856421867,6.79E-05,11.93406038,210815.79,4.51E+07,0,0.13545579,17.04192912,0,0,0
2015040117594700105-.bmp,0.021712748,2.7465506,0.991419251,160.0414327,0.580456077,17.23814554,3.655740301,821.9009121,4.63582521,1.327555129,1.39E-04,1.076754043,103686.1574,3.08E+07,0,0.06799687,8.61907277,0,0,0,0.028402514,870.478645,0.358991828,678.991847,0.18440644,47.91634064,3.44580559,3823.11723,4.832749867,2.795585431,6.94E-05,21.84910016,118285.4959,2.11E+07,0,0.139612676,23.95817032,0,0,0
2015040117594700109-.bmp,0.006599039,11.14624739,0.98965833,538.8997633,0.360274685,32.73375391,4.348676408,2950.165431,6.024805806,1.979229308,1.01E-04,2.376411711,344863.5798,8.81E+07,0,0.032260694,16.36687696,0,0,0,0.021910993,294.1563022,0.638778242,407.1685819,0.178611354,34.44018975,3.511347703,2291.111296,5.19184639,2.725362904,7.20E-05,12.7887813,146480.1363,3.23E+07,0,0.120018258,17.22009487,0,0,0
2015040117594700116-.bmp,0.03183413,2.511394757,0.992851952,175.6699797,0.638036629,15.22804838,3.487318095,838.0132718,4.299878457,1.22457507,1.47E-04,0.921019171,148472.5892,4.71E+07,0,0.095106286,7.614024191,0,0,0,0.019963256,121.2527061,0.784998753,281.9814024,0.198692076,25.82751695,3.859003809,1489.288473,5.375943494,2.914711565,6.51E-05,8.16508868,128777.0796,2.97E+07,0,0.113836724,12.91375848,0,0,0
2015040117594700120-.bmp,0.023839618,4.62543036,0.993797353,372.8593994,0.532520163,20.47672796,3.679184274,1768.969641,4.803070551,1.512018783,1.30E-04,1.352125717,286931.4698,7.95E+07,0,0.062350026,10.23836398,0,0,0,0.025174726,255.5693564,0.729089489,471.6859369,0.190980736,33.23720331,3.702227803,2503.48917,5.1497933,2.848179541,6.77E-05,11.77341875,219447.0722,5.03E+07,0,0.131028299,16.61860166,0,0,0
2015040117594700121-.bmp,0.010591908,7.791930751,0.987899744,321.9738083,0.41637598,24.18332355,4.017865189,1686.749013,5.496843515,1.799251227,1.11E-04,1.932358503,204436.4659,5.53E+07,0,0.039289906,12.09166178,0,0,0,0.027203177,304.107127,0.679132675,473.8829784,0.192817692,33.93653495,3.625558191,2510.180099,5.041350027,2.828747946,6.87E-05,12.80892671,200088.7915,4.40E+07,0,0.136691445,16.96826748,0,0,0
2015040117594700126-.bmp,0.00754573,10.6795742,0.988126234,449.7130074,0.369727302,31.37416862,4.310225753,2520.629459,5.95045106,1.964188973,1.02E-04,2.319956312,228017.9425,4.96E+07,0,0.039091028,15.68708431,0,0,0,0.01905894,421.6026082,0.65838662,617.0756672,0.166043146,43.22994262,3.747046287,3605.599163,5.338697052,2.840612593,6.60E-05,15.30179969,206793.218,4.06E+07,0,0.10991458,21.61497131,0,0,0
2015040117594700127-.bmp,0.012465005,6.990783125,0.987886444,288.5520714,0.467962669,24.45237676,4.032516342,1564.188202,5.394880109,1.713885298,1.18E-04,1.717445879,166803.7599,4.30E+07,0,0.044242306,12.22618838,0,0,0,0.021069306,302.844689,0.660116438,445.5124093,0.174370792,35.00325704,3.407729564,2477.482305,5.208413617,2.541671197,7.40E-05,12.95507629,172815.4665,3.68E+07,0,0.115995044,17.50162852,0,0,0
2015040117594700137-.bmp,0.019862948,3.547385237,0.991266934,203.1007899,0.550854464,18.79121022,3.728194085,1035.75023,4.802498823,1.42161226,1.34E-04,1.215923318,126205.3451,3.40E+07,0,0.06369001,9.395605112,0,0,0,0.02476073,184.6626369,0.661589329,272.8380822,0.19875516,26.77164841,3.641234216,1441.705752,5.079705516,2.839759421,6.79E-05,10.04840897,97022.95376,2.05E+07,0,0.128592853,13.3858242,0,0,0
2015040117594700139-.bmp,0.01904412,3.963288993,0.994409929,354.493594,0.562400381,21.92824074,3.865867346,1740.26042,4.91180482,1.433402991,1.34E-04,1.220024778,285754.0456,8.11E+07,0,0.063174883,10.96412037,0,0,0,0.012018373,310.319702,0.784205942,719.0181814,0.147990195,46.5540656,4.143608372,4364.399906,5.830166016,3.018985829,6.07E-05,13.24453899,308193.6333,6.72E+07,0,0.083665884,23.2770328,0,0,0
2015040117594700148-.bmp,0.007916229,6.983796296,0.988392017,300.8186887,0.415023312,27.75850939,4.212091913,1750.724734,5.713948337,1.777853457,1.11E-04,1.895050861,158019.3926,4.13E+07,0,0.026193271,13.87925469,0,0,0,0.007918063,54.04850352,0.911950276,306.9203446,0.209263412,26.43433425,4.167714801,1669.435217,6.316391732,2.762963644,6.61E-05,5.50721505,181852.7099,4.76E+07,0,0.066236307,13.21716712,0,0,0
2015040117594700149-.bmp,0.003702129,14.96859677,0.986570832,557.3166214,0.314671533,37.86112415,4.532042112,3325.125598,6.407439686,2.122442105,9.38E-05,2.811248044,326208.1353,8.06E+07,0,0.013442227,18.93056208,0,0,0,0.029827605,478.9431371,0.444754894,431.2898322,0.190791444,35.37024974,3.393857789,2268.705834,4.750207711,2.768553721,7.02E-05,16.18399517,125472.3405,2.71E+07,0,0.141666667,17.68512487,0,0,0
2015040117594700152-.bmp,0.007638277,6.877500652,0.986996551,264.4490904,0.431501232,26.16940206,4.135118279,1536.428523,5.595136747,1.731261734,1.15E-04,1.805434924,166595.7422,4.61E+07,0,0.024925013,13.08470103,0,0,0,0.017700034,341.5965213,0.597617312,424.4672191,0.163987543,38.02227765,3.794323572,2527.825195,5.34418683,2.924530226,6.42E-05,13.86175991,113419.0893,2.15E+07,0,0.105151278,19.01113882,0,0,0
2015040117594700159-.bmp,0.005557791,13.13216288,0.986319213,479.9491193,0.328985168,31.7536222,4.332510591,2658.581676,6.117903173,2.073044166,9.55E-05,2.651040037,307458.8783,7.99E+07,0,0.027829943,15.8768111,0,0,0,0.03074356,877.1721114,0.400566077,731.6670587,0.190034935,48.31688185,3.415734266,4065.609178,4.790490179,2.762073216,7.08E-05,21.83374413,156432.1251,2.96E+07,0,0.146498435,24.15844092,0,0,0
2015040117594700160-.bmp,0.006044449,8.517168753,0.987343525,336.4747567,0.380759085,29.42005086,4.298512689,1968.473538,5.90675835,1.877588825,1.05E-04,2.132518258,204219.6507,5.62E+07,0,0.029489437,14.71002543,0,0,0,0.041743008,1139.446815,0.326236129,845.583196,0.215132887,49.07295579,3.244805746,4343.105306,4.484344201,2.686940422,7.48E-05,24.49728417,178035.6935,3.45E+07,0,0.175599896,24.5364779,0,0,0
2015040117594700163-.bmp,0.005647361,13.15429708,0.983767129,405.1746819,0.329353878,30.52833855,4.290057036,2295.991847,6.077272303,2.069776745,9.58E-05,2.644020605,218592.6674,5.20E+07,0,0.024008868,15.26416927,0,0,0,0.011765761,124.320491,0.846823296,405.8074349,0.177058788,33.05670644,4.238004452,2329.426833,5.948347034,3.022782001,6.04E-05,8.35700639,174197.6124,3.53E+07,0,0.084128847,16.52835322,0,0,0
2015040117594700164-.bmp,0.010913869,6.546537559,0.992771405,452.822297,0.454359095,27.94828508,4.132110697,2371.952813,5.519210567,1.713524044,1.17E-04,1.732094418,299788.8324,8.04E+07,0,0.033453965,13.97414254,0,0,0,0.026802017,279.2512128,0.732876736,522.7010341,0.192455365,33.35822248,3.423389059,2707.647176,5.042255988,2.653082017,7.44E-05,12.31796427,298744.3906,7.89E+07,0,0.135080856,16.67911124,0,0,0
2015040117594700171-.bmp,0.003961854,15.1501891,0.988044985,633.6332142,0.331546305,40.96451487,4.639149091,3838.914866,6.45620511,2.110880734,9.53E-05,2.740401669,377211.4194,9.90E+07,0,0.02231025,20.48225743,0,0,0,0.040065368,1075.197724,0.206406017,677.423057,0.209444853,45.72209833,3.157672184,3446.224877,4.430237888,2.658785456,7.47E-05,24.00298644,89757.65462,1.53E+07,0,0.169780256,22.86104917,0,0,0
2015040117594700185-.bmp,0.004940579,8.949546818,0.991503519,526.6619497,0.40534907,37.73604917,4.549713955,3199.031097,6.113339224,1.854073648,1.09E-04,2.054411189,321761.3781,8.22E+07,0,0.016301513,18.86802458,0,0,0,0.007174476,175.7104493,0.885909093,770.0458079,0.144741005,47.21065793,4.535517302,4725.64041,6.369307215,3.133589715,5.70E-05,10.05204421,384782.209,9.00E+07,0,0.061186098,23.60532896,0,0,0
2015040117594700186-.bmp,0.005552917,16.98998109,0.988156,717.2399864,0.301151065,34.21007107,4.337175792,3744.359837,6.226467343,2.186217326,9.04E-05,3.003830856,547563.4846,1.54E+08,0,0.031096766,17.10503554,0,0,0,0.028007842,298.0338843,0.746100963,586.9141676,0.19387682,34.30315271,3.603989196,2992.061427,5.000126685,2.812768075,6.91E-05,12.70034885,348720.9867,9.04E+07,0,0.138200965,17.15157636,0,0,0
2015040117594700188-.bmp,0.014754004,5.57661385,0.991260894,319.0608913,0.470958444,22.54556273,3.875246769,1619.247649,5.183948088,1.64653829,1.20E-04,1.604189489,192568.1961,4.84E+07,0,0.041327595,11.27278136,0,0,0,0.029236735,220.6631749,0.761750953,463.0935109,0.203960747,30.61595918,3.618878603,2360.553229,5.031458778,2.797792832,7.00E-05,10.86409429,249332.009,5.96E+07,0,0.143456573,15.30797959,0,0,0
2015040117594700190-.bmp,0.007912689,7.542018779,0.989895972,373.2184254,0.410852583,29.34507042,4.260750592,2114.554784,5.772479702,1.81279101,1.10E-04,1.957022692,197869.8566,4.80E+07,0,0.031106547,14.67253521,0,0,0,0.02002486,119.2544079,0.846388283,388.1683316,0.201785341,27.79247522,3.947561977,2001.998806,5.480470981,2.929481818,6.49E-05,8.046622327,246185.2862,6.81E+07,0,0.116158059,13.89623761,0,0,0
2015040117594700194-.bmp,0.019739313,3.225798774,0.992147032,205.3872411,0.548139937,18.17808751,3.670301022,1028.799034,4.748755491,1.401300111,1.34E-04,1.197701487,138426.7585,3.71E+07,0,0.053749348,9.089043753,0,0,0,0.021218697,207.0621446,0.748293129,411.3160359,0.186566714,30.5698585,3.703600883,2159.997798,5.238734928,2.843859586,6.68E-05,10.66878912,209521.6278,5.03E+07,0,0.116614502,15.28492925,0,0,0
2015040117594700199-.bmp,0.01607439,4.755526213,0.990304304,245.2390447,0.507944332,20.22678339,3.806027644,1245.841872,5.015977485,1.545695398,1.27E-04,1.425074987,159075.5954,4.25E+07,0,0.044454225,10.11339169,0,0,0,0.022765145,275.0791895,0.660057481,404.5966219,0.182515061,33.47763106,3.70503764,2229.714617,5.17743284,2.876013758,6.66E-05,12.30313315,153529.9499,3.40E+07,0,0.123148148,16.73881553,0,0,0
2015040117594700201-.bmp,0.011894449,4.67672144,0.987659476,189.4863349,0.48968609,21.65397105,3.957158389,1066.445796,5.223121958,1.571602542,1.24E-04,1.474308816,111700.4451,3.15E+07,0,0.035119979,10.82698552,0,0,0,0.041362163,675.8787396,0.287275177,474.1512556,0.215627738,37.00496544,3.193450092,2363.944853,4.431416422,2.670391573,7.49E-05,18.93078704,91330.73122,1.88E+07,0,0.173523083,18.50248272,0,0,0
2015040117594700206-.bmp,0.00301434,18.35733568,0.98321204,546.7410913,0.279299703,38.2824987,4.551214445,3306.406567,6.55828025,2.230939618,8.79E-05,3.195337767,333422.1751,8.55E+07,0,0.011932707,19.14124935,0,0,0,0.019183959,203.1687989,0.66587674,304.0327074,0.180906014,29.67446531,3.761021154,1684.468619,5.286533391,2.899500776,6.52E-05,10.66206964,121887.9911,3.03E+07,0,0.11024061,14.83723266,0,0,0
2015040117594700207-.bmp,0.005146428,16.59629304,0.986743681,625.9766542,0.314522016,37.72111046,4.515026134,3589.95436,6.367980888,2.169618903,9.17E-05,2.920419275,368348.6776,9.16E+07,0,0.032231351,18.86055523,0,0,0,0.015781993,187.4144855,0.839605445,584.2295767,0.174964542,37.44481938,4.114873602,3260.389107,5.716610035,2.990574597,6.26E-05,10.17547926,289845.148,6.50E+07,0,0.100267345,18.72240969,0,0,0
2015040117594700209-.bmp,0.035162918,2.405614241,0.994128971,204.8715903,0.631326025,16.98989958,3.545951376,997.8204904,4.372562866,1.25835496,1.45E-04,0.943401148,131548.5257,3.66E+07,0,0.106840115,8.494949791,0,0,0,0.016508934,84.11617762,0.85597397,292.0172744,0.213112746,23.66486046,3.907081115,1474.322765,5.556733239,2.887192412,6.45E-05,6.800978091,165784.6777,3.87E+07,0,0.101366067,11.83243023,0,0,0
2015040117594700210-.bmp,0.011564684,6.387519562,0.988580596,279.6783192,0.449838793,22.78896714,3.956942456,1466.970911,5.344949101,1.706024528,1.16E-04,1.726212833,159975.2963,3.81E+07,0,0.037773865,11.39448357,0,0,0,0.040219628,520.1507107,0.278464969,360.4473024,0.213746321,32.85854199,3.189450777,1801.893473,4.441666574,2.67478412,7.45E-05,16.68909103,59588.08367,1.13E+07,0,0.170034559,16.429271,0,0,0
2015040117594700211-.bmp,0.006065187,11.23810316,0.986408325,413.4186292,0.354728177,31.4566934,4.334677373,2378.040167,6.039896518,1.99163448,1.00E-04,2.412359807,214313.2282,4.93E+07,0,0.026473657,15.7283467,0,0,0,0.035365672,429.7634846,0.492790715,423.6549859,0.205865843,32.92115284,3.069561244,2155.97398,4.633049634,2.440671816,7.92E-05,15.18178143,166804.2659,4.48E+07,0,0.157964919,16.46057642,0,0,0
2015040117594700215-.bmp,0.012060829,5.366555816,0.989025956,244.5113118,0.460953843,22.39757433,3.960083611,1312.619755,5.301920626,1.650186167,1.19E-04,1.621472353,139464.7782,3.58E+07,0,0.03825639,11.19878717,0,0,0,0.029044824,356.270403,0.70253237,598.8389436,0.195857967,37.25356677,3.620702856,3170.254906,5.014987262,2.805526273,6.96E-05,13.82897105,270475.8871,6.04E+07,0,0.142546948,18.62678339,0,0,0
2015040117594700217-.bmp,0.009854562,8.221289776,0.988877118,369.5665191,0.39799229,23.59758738,3.965842269,1855.450203,5.493052631,1.834318377,1.08E-04,2.026493219,295830.1694,8.92E+07,0,0.037350026,11.79879369,0,0,0,0.021244151,478.5019105,0.640876865,666.2086952,0.169934292,43.61118936,3.718192344,3777.784081,5.207082078,2.879767771,6.61E-05,16.30132368,288396.0715,7.19E+07,0,0.117426317,21.80559468,0,0,0
2015040117594700219-.bmp,0.012815963,7.301121544,0.985940269,259.6465554,0.413308259,21.85987872,3.900582249,1353.82143,5.373192733,1.804598874,1.09E-04,1.933222483,153883.9124,4.28E+07,0,0.055770736,10.92993936,0,0,0,0.027299441,267.9857623,0.670929635,407.1861082,0.195738829,32.36057316,3.599265197,2187.971506,5.05678466,2.812098124,7.00E-05,12.06004499,167783.9888,3.91E+07,0,0.138139019,16.18028658,0,0,0
2015040117594700220-.bmp,0.015014837,3.034399452,0.991996175,189.5593283,0.554070176,21.28699465,3.922093847,1056.742694,4.989103727,1.398789275,1.34E-04,1.177096375,108681.804,2.99E+07,0,0.047166797,10.64349733,0,0,0,0.010431176,109.8130575,0.876735509,445.4367061,0.177242555,33.6681175,4.300197624,2534.408485,6.085719026,3.014252934,6.00E-05,7.851881195,213201.6288,4.64E+07,0,0.077960355,16.83405875,0,0,0
2015040117594700223-.bmp,0.006196322,9.395285603,0.993118691,682.6670238,0.399780953,36.92791471,4.476367094,3774.375752,6.049230342,1.875259341,1.08E-04,2.103579812,499306.1644,1.42E+08,0,0.022339593,18.46395736,0,0,0,0.015717518,187.8779864,0.824757403,536.0511357,0.173116491,33.50820944,3.94276201,2830.442238,5.54211041,2.949781575,6.33E-05,10.24512911,372413.565,1.08E+08,0,0.097701487,16.75410472,0,0,0
2015040117594700224-.bmp,0.006501598,10.83213028,0.988957737,490.4850704,0.358547416,31.2388139,4.289531728,2677.371961,5.975628494,1.975335891,1.01E-04,2.37025626,283593.106,6.57E+07,0,0.031928143,15.61940695,0,0,0,0.029297384,606.0554675,0.467376723,568.9344551,0.188837167,41.36269236,3.457984813,3106.449207,4.84056849,2.783356847,7.00E-05,18.17753978,156952.231,3.19E+07,0,0.142041601,20.68134618,0,0,0
